16:33:43.177821 ARP, Request who-has 192.168.139.1 (Broadcast) tell 192.168.139.142, length 46
16:33:43.178126 ARP, Request who-has 192.168.139.2 (Broadcast) tell 192.168.139.142, length 46
16:33:43.178137 ARP, Request who-has 192.168.139.3 (Broadcast) tell 192.168.139.142, length 46
16:33:43.178140 ARP, Request who-has 192.168.139.4 (Broadcast) tell 192.168.139.142, length 46
16:33:43.178143 ARP, Request who-has 192.168.139.5 (Broadcast) tell 192.168.139.142, length 46
16:33:43.178145 ARP, Request who-has 192.168.139.6 (Broadcast) tell 192.168.139.142, length 46
16:33:43.178148 ARP, Request who-has 192.168.139.7 (Broadcast) tell 192.168.139.142, length 46
16:33:43.178203 ARP, Request who-has 192.168.139.8 (Broadcast) tell 192.168.139.142, length 46
16:33:43.178223 ARP, Request who-has 192.168.139.9 (Broadcast) tell 192.168.139.142, length 46
16:33:43.178343 ARP, Request who-has 192.168.139.10 (Broadcast) tell 192.168.139.142, length 46
16:33:43.178800 ARP, Reply 192.168.139.2 is-at 00:50:56:f4:3d:ae (oui Unknown), length 46
16:33:43.179869 ARP, Reply 192.168.139.1 is-at 00:50:56:c0:00:08 (oui Unknown), length 46
16:33:43.385763 ARP, Request who-has 192.168.139.3 (Broadcast) tell 192.168.139.142, length 46
16:33:43.386196 ARP, Request who-has 192.168.139.4 (Broadcast) tell 192.168.139.142, length 46
16:33:43.386376 ARP, Request who-has 192.168.139.5 (Broadcast) tell 192.168.139.142, length 46
16:33:43.386514 ARP, Request who-has 192.168.139.6 (Broadcast) tell 192.168.139.142, length 46
16:33:43.386660 ARP, Request who-has 192.168.139.7 (Broadcast) tell 192.168.139.142, length 46
16:33:43.386926 ARP, Request who-has 192.168.139.8 (Broadcast) tell 192.168.139.142, length 46
16:33:43.387139 ARP, Request who-has 192.168.139.9 (Broadcast) tell 192.168.139.142, length 46
16:33:43.387318 ARP, Request who-has 192.168.139.10 (Broadcast) tell 192.168.139.142, length 46
16:33:43.387527 ARP, Request who-has 192.168.139.13 (Broadcast) tell 192.168.139.142, length 46
16:33:43.387558 ARP, Request who-has 192.168.139.14 (Broadcast) tell 192.168.139.142, length 46
16:33:43.387565 ARP, Request who-has 192.168.139.15 (Broadcast) tell 192.168.139.142, length 46
16:33:43.387572 ARP, Request who-has 192.168.139.16 (Broadcast) tell 192.168.139.142, length 46
16:33:43.490069 ARP, Request who-has 192.168.139.13 (Broadcast) tell 192.168.139.142, length 46
